Year,Month,Day,Hour,Minute,Second,Country,State,Location,Lat,Lon,RegionCode,MaxWaterHeight,MagIIDA,IntensitySoloviev,WarningStatus,DeathCount
1624,3,19,,,,ITALY,,DELTA OF THE PO,44.60,11.80,50.00,,,3.00,,
1627,7,30,10,50,,ITALY,,GARGANO PENINSULA,41.73,15.35,50.00,,,5.00,,5000.00
1627,9,14,,,,PHILIPPINES,,W. LUZON ISLAND,18.40,121.60,84.00,,2.00,3.50,,
1629,2,27,,,,GREECE,,CRETE,35.00,,50.00,,,,,
1629,3,7,,,,GREECE,,ISLAND OF CRETE,,,50.00,,,,,
1629,3,9,9,,,GREECE,,CRETE,36.00,25.00,50.00,,,3.00,,
1629,8,1,,,,INDONESIA,,BANDA SEA,-4.60,129.90,83.00,16.00,4.00,3.00,,
1630,3,9,,,,GREECE,,ISLANDS OF CYTHERA & CRETE,,,50.00,,,,,
1630,,,,,,INDONESIA,,BANDA SEA,-4.60,129.90,83.00,,,,,
1631,12,17,9,,,ITALY,,BAY OF NAPLES,40.82,14.43,50.00,,,5.00,,4000.00
1633,3,1,,,,JAPAN,,SAGAMI BAY,35.20,139.20,85.00,,1.00,1.00,,150.00
1633,5,14,,,,CHILE,,SOUTHERN CHILE,-41.80,-73.80,89.00,,1.00,1.50,,
1633,11,5,,,,GREECE,,ISLAND OF ZAKYNTHOS,37.60,21.00,50.00,,,3.00,,
1634,3,,,,,CHINA,,HUBEI PROVINCE,30.70,115.10,84.00,1.00,,,,
1636,7,31,,,,EAST CHINA SEA,,E. CHINA SEA-S.JAPAN,35.10,129.05,84.00,,,0.00,,
1636,9,30,18,30,,GREECE,,IONIAN SEA,38.10,20.30,50.00,,,3.00,,520.00
1638,3,27,15,5,,ITALY,,TYRRHENIAN CALABRIA,39.03,16.28,50.00,,,5.00,,9581.00
1638,,,,,,PHILIPPINES,,W. LUZON ISLAND,,,84.00,,,,,
1640,4,4,,,,GERMANY,,ROER VALLEY,50.80,5.70,73.00,,,,,
1640,7,31,,,,JAPAN,,SE. HOKKAIDO ISLAND,42.07,140.68,85.00,,2.00,1.00,,700.00
1640,9,16,,,,CHINA,,SOUTH CHINA SEA,23.00,117.00,84.00,,1.00,2.00,,
1641,12,21,,,,PORTUGAL,,AZORES,38.40,-28.10,73.00,,,,,
1642,9,4,,,,JAPAN,,"BOSO, JAPAN",35.20,140.60,85.00,,1.00,1.00,,
1643,7,25,,,,SOUTH KOREA,,SEA OF JAPAN,35.50,129.50,84.00,,1.00,1.00,,
1644,10,18,,,,JAPAN,,"HONJO, AKITA",39.40,140.10,85.00,,1.00,1.00,,117.00
1645,11,30,12,,,PHILIPPINES,,W. LUZON ISLAND,14.40,121.00,84.00,,,,,600.00
1646,4,5,20,,,ITALY,,LIVORNO,43.55,10.32,50.00,,,3.00,,
1646,4,5,,,,TURKEY,,MARMARA SEA,41.04,28.98,50.00,,,4.00,,
1646,6,9,,,,JAPAN,,SANRIKU,37.70,141.70,85.00,,,,,
1647,5,7,,,,PERU,,S. PERU,-15.50,-75.00,89.00,,1.50,2.00,,14.00
1648,2,29,,,,INDONESIA,,BANDA SEA,,,83.00,,,,,
1649,1,,,,,ITALY,,MESSINA STRAITS,38.18,15.55,50.00,,,5.00,,
1649,7,30,,,,JAPAN,,TOKAIDO,,,85.00,,,,,
1649,12,9,,,,SOUTH KOREA,,YELLOW SEA,35.50,126.00,84.00,,1.00,1.00,,
1650,9,29,,,,GREECE,,THERA ISLAND (SANTORINI),36.40,25.40,50.00,30.00,5.60,6.00,,120.00
