Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
1772,5,9,YES,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,35
1772,8,12,NO,NO,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,
1773,2,2,NO,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,2957
1775,,,NO,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,
1775,,,NO,NO,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.36,124.79,1580,Stratovolcano,
1778,,,NO,NO,Raikoke,Kuril Is,Russia,48.29,153.25,551,Stratovolcano,1300
1779,11,8,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,15
1779,8,8,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1780,9,9,YES,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,7
1780,10,31,YES,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,
1780,7,27,NO,NO,Aoga-shima,Izu Is-Japan,Japan,32.45,139.77,423,Stratovolcano,153
1780,2,9,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,
1781,4,11,YES,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,
1783,8,5,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,38
1784,4,,NO,NO,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,1491
1784,7,,NO,NO,Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,9350
1784,,,NO,NO,Hualalai,Hawaiian Is,United States,19.69,-155.87,2523,Shield volcano,
1785,4,18,NO,NO,Aoga-shima,Izu Is-Japan,Japan,32.45,139.77,423,Stratovolcano,
1786,,,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,135
1789,,,NO,NO,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,38
1790,11,,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,
1792,5,21,YES,YES,Unzen,Kyushu-Japan,Japan,32.75,130.30,1500,Complex volcano,5405
1794,6,15,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,15000
1800,6,24,NO,NO,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,400
1800,,,NO,NO,Hualalai,Hawaiian Is,United States,19.69,-155.87,2523,Shield volcano,9
1800,10,8,NO,NO,Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,
1800,10,30,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1800,,,NO,NO,St. Helens,US-Washington,United States,46.20,-122.18,2549,Stratovolcano,2
1800,,,NO,NO,Kieyo,Africa-E,Tanzania,-9.23,33.78,2175,Stratovolcano,
1801,7,,NO,NO,Chokai,Honshu-Japan,Japan,39.08,140.03,2237,Stratovolcano,
1803,7,4,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,8
1803,11,7,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,
1804,,,NO,NO,Shikotsu,Hokkaido-Japan,Japan,42.70,141.33,1320,Caldera,
1805,8,11,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1812,8,6,NO,NO,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.50,1320,Stratovolcano,4
1812,4,27,NO,NO,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,56
1813,5,,YES,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,953
1814,2,1,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1815,4,10,YES,NO,Tambora,Lesser Sunda Is,Indonesia,-8.25,118.00,2850,Stratovolcano,1200
1816,7,5,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,60000
1817,1,24,NO,NO,Ijen,Java,Indonesia,-8.06,114.24,2799,Stratovolcano,1
1817,,,NO,NO,Raung,Java,Indonesia,-8.13,114.04,3332,Stratovolcano,
1818,2,5,NO,NO,Colima,Mexico,Mexico,19.51,-103.62,3850,Stratovolcano,
1819,,,YES,NO,Asuncion,Mariana Is-C Pacific,United States,19.67,145.40,857,Stratovolcano,
1820,3,1,YES,YES,Westdahl,Aleutian Is,United States,54.52,-164.65,1654,Stratovolcano,
1820,6,11,NO,NO,Banda Api,Banda Sea,Pacific Ocean,-4.53,129.87,640,Caldera,
1822,10,8,NO,NO,Galunggung,Java,Indonesia,-7.25,108.05,2168,Stratovolcano,
1822,12,27,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,50
1822,3,9,NO,NO,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,4011
1823,2,,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,100
1824,,,NO,NO,Shishaldin,Aleutian Is,United States,54.75,-163.97,2857,Stratovolcano,
